"You can put social login button block in any preferred position by using these following codes. Please note that social login buttons still work normally according to your settings in General Configuration tab if codes are not implemented.","Puede colocar el bloque de botones de inicio de sesión social en cualquier posición preferida utilizando los siguientes códigos. Tenga en cuenta que los botones de inicio de sesión social todavía funcionan normalmente según su configuración en la pestaña Configuración general si los códigos no están implementados."
"Add code below to a template file","Agregue el código a continuación a un archivo de plantilla"
"You can put a social login button block on a CMS page. Here is an example that we put a login block with 4 buttons. Replace ""4"" in this code with the number of buttons you want to show.","Puede colocar un bloque de botón de inicio de sesión social en una página de CMS. Aquí hay un ejemplo de que ponemos un bloque de inicio de sesión con 4 botones. Reemplaza ""4"" en este código con la cantidad de botones que quieras mostrar."
"Please copy and paste the code below to one of xml layout files where you want to show the social button block. Replace ""4"" in this code with the number of buttons you want to show.","Copie y pegue el código siguiente en uno de los archivos de diseño xml donde desee mostrar el bloque de botones sociales. Reemplaza ""4"" en este código con la cantidad de botones que quieras mostrar."
"Below is a code example of a block with 4 social login buttons shown on the left of the category page. Replace ""4"" in this code with the number of buttons you want to show.","A continuación se muestra un ejemplo de código de un bloque con 4 botones de inicio de sesión social que se muestran a la izquierda de la página de la categoría. Reemplaza ""4"" en este código con la cantidad de botones que quieras mostrar."
"We\'ll email you a link to reset your password.","Te enviaremos un link para resetear tu contraseña."
"Left to Right","Izquierda a Derecha"
"Right to Left","Derecha a Izquierda"
No,No
Yes,Si
Header,Encabezado
"Above customer login form","Por encima del formulario de Login de Cliente"
"Below customer login form","Por debajo del formulario de Login de Cliente"
"Above customer registration form","Por encima del formulario de Registro de Cliente"
"Below customer registration form","Por debajo del formulario de Registro de Cliente"
"Show popup when click login","Mostrar PopUp al hacer click en Ingreso"
"Account Page","Página de Cuenta del Cliente"
"Cart Page","Página de Carrito"
"Home Page","Página Princiopal"
"Current Page","Página Actual"
"Custom Page","Página Personalizada"
"Other Social Login","Otro Social Login"
"Login with AOL","Ingreso con AOL"
"Enter your AOL username","Ingrese su Nombre de Usuario de AOL"
"Enter AOL Name","Ingrese el Nombre AOL"
"* Required Fields","* Campos Requeridos"
Sumbit,Enviar
"Login with Clavid Name","Ingreso con Nombre Clavid"
"Enter your Clavid username","Ingrese su nombre de Usuario Clavid"
"Enter Clavid Name","Ingrese el Nombre Clavid"
"Login with Live Journal","Ingreso con Live Journal"
"Enter your Live Journal username","Ingrese su nombre de Usuario Live Journal"
"Enter my username","Ingrese mi nombre de Usuario"
"Login with myOpenId","Ingreso por myOpenId"
"Enter your MyOpenId username","Ingrese su nombre de Usuario MyOpenId"
"Login with Wordpress","Ingreso por Wordpress"
"Enter your Wordpress username","Ingrese su nombre de Usuario Wordpress"
"Login by Amazon","Ingreso por Amazon"
"Amazon Sign in","Registro con Amazon"
"Login by AOL","Ingreso por AOL"
"AOL Sign in","Registro con AOL"
"Login by Clavid","Ingreso por Clavid"
"Clavid Sign in","Registro con Clavid"
"Login by Facebook","Ingreso por Facebook"
"Facebook Sign in","Registro con Facebook"
"Login by FoursQuare","Ingreso por FoursQuare"
"FoursQuare Sign in","Registro con FoursQuare"
"Login by Google","Login by Google"
"Google Sign in","Registro con Google"
"Login by Instagram","Ingreso por Instagram"
"Instagram Sign in","Registro con Instagram"
"Login by Linkedin","Ingreso por Linkedin"
"Linkedin Sign in","Registro con Linkedin"
"Login by Live","Ingreso por Live"
"Live Sign in","Registro con Live"
"Login by LiveJournal","Ingreso por LiveJournal"
"Live Journal","Live Journal"
"Login by MySpace","Ingreso por MySpace"
"MySpace Sign in","Registro con MySpace"
"Login by MyOpenId","Ingreso por MyOpenId"
"My OpenId Sign in","Registro con My OpenId"
"Login by Orange","Ingreso por Orange"
"Orange Sign in","Registro con Orange"
"Login by Persona","Ingreso por Persona"
"Persona Sign in","Registro con Persona"
"Login by StackExchange","Ingreso por StackExchange"
StackExchange,StackExchange
"Login by Twitter","Ingreso por Twitter"
"Twitter Sign in","Registro con Twitter"
"Login by Vk","Ingreso por Vk"
"Vk Sign in","Registro con Vk"
"Login by WordPress","Ingreso por WordPress"
"WordPress Sign in","Registro con WordPress"
"Login by Yahoo","Ingreso por Yahoo"
"Yahoo Sign in","Registro con Yahoo"
"Other login","Otro ingreso"
"Sign in","Ingresar"
"Please enter your email below and we will send you a new password.","Ingrese su correo electrónico a continuación y le enviaremos una nueva contraseña."
"Email Address ","Dirección de Email "
"Password ","Contraseña "
Login,Ingreso
Forgotten?,Olvidada?
"Register Now","Registrarse Ahora"
"Send Password","Enviar Contraseña"
"Back to Form Login","Volver al formulario de Ingreso"
"Create New Account","Crear Nueva Cuenta"
"First Name ","Nombre "
"Last Name ","Apellido "
"Email ","Email "
"New Password ","Nueva Contraseña "
"Confirm Password","Confirmar Contraseña"
Submit,Enviar
"Sign in with","Iniciar Sesión con"
"Other Login","Otro Login"
"Social Login","Social Login"
Settings,Ajustes
