"Your Checkout Progress", "Checkout Progress"
"Card Verification Number", "CVV"
"Items %1-%2 of %3","%3 items"
"Regular Price", "Precio anterior"
"Shop By","Filtro"
"Remove item", "Eliminar"
"Proceed to Checkout", "Ir al Checkout"
"View and edit cart", "Ver Carrito"
"Grand Total", "Total Estimado"
"Review by", "Por"
"View Order", "Ver"
"Update Shopping Cart", "Actualizar Carrito"
"Print Order", "Imprimir"
"Move to Wish List","Mover"
"Copy to Wish List","Copiar"
"Move Selected to Wish List", "Mover Seleccionado"
"Copy Selected to Wish List", "Copiar Seleccionado"
"%1 items in wish list", "%1 items"
"1 item in wish list", "1 item"
"Continue to Shipping Information", "Seleccionar método de envío"
