"Invalid Form Key. Please refresh the page.","Clave de formulario inválida. Por favor actualice la página."
"You entered an invalid Secret Key. Please refresh the page.","Ingresaste una clave secreta inválida. Por favor actualice la página."
"Cache Storage Management","Administración del almacenamiento caché"
"Flush Magento Cache","Purgar caché de Magento"
"The cache storage may contain additional data. Are you sure that you want to flush it?","El almacenamiento caché puede contener información adicional. Está seguro que desea purgarlo?"
"Flush Cache Storage","Purgar Almacenamiento Caché"
Invalidated,Invalidado
Orders,Pedidos
Amounts,Cantidades
Bestsellers,Más Vendidos
"Most Viewed Products","Productos Más Vistos"
"New Customers","Nuevos Clientes"
Customers,Clientes
Customer,Cliente
Guest,Invitado
Items,Items
Total,Total
"Lifetime Sales","Ventas desde el inicio"
"Average Order","Pedido promedio"
Average,Promedio
Product,Producto
Price,Precio
Quantity,Cantidad
Views,Vistas
Revenue,Ingresos
Tax,Impuestos
Shipping,Envío
"Images (.gif, .jpg, .png)","Imágenes (.gif, .jpg, .png)"
"Media (.avi, .flv, .swf)","Media (.avi, .flv, .swf)"
"All Files","Todos los Archivos"
"Reset to Default","Reestablecer Predeterminados"
"All Store Views","Todas las Vistas de Tienda"
"What is this?","Qué es Esto?"
"Save Account","Guardar Cuenta"
"My Account","Mi Cuenta"
"Account Information","Información de la Cuenta"
"User Name","Nombre de Usuario"
"First Name","Nombre"
"Last Name","Apellido"
Email,Email
"User Email","Email de Usuario"
"New Password","Nuueva Contraseña"
"Password Confirmation","Confirmación de contraseña"
"Interface Locale","Lenguaje de interfaz"
"Current User Identity Verification","Verificacion de identidad de usuario actual"
"Your Password","Su Contraseña"
"Save Cache Settings","Guardar Configuración de Caché"
"Catalog Rewrites","Reescrituras de Catálogo"
Refresh,Refrescar
"Images Cache","Caché de Imágenes"
Clear,Limpiar
"Search Index","Indice de Búsqueda"
Rebuild,Reconstruir
"Inventory Stock Status","Estado del Stock de Inventario"
"Rebuild Catalog Index","Reconstruir Indice de Catálogo"
"Rebuild Flat Catalog Category","Reconstruir Catálogo Plano de Categoría"
"Rebuild Flat Catalog Product","Reconstruir Catálogo Plano de Producto"
"Cache Control","Control de caché"
"All Cache","Todo el Caché"
"No change","Sin cambios"
Disable,Deshabilitar
Enable,Habilitar
"Add Design Change","Agregar Cambio de Diseño"
Back,Atrás
Delete,Eliminar
"Are you sure?","Está seguro?"
Save,Guardar
"Edit Design Change","Editar Cambio de Diseño"
"New Store Design Change","Cambio de Diseño de Nueva Tienda"
"General Settings","Configuración General"
Store,Tienda
"-- Please Select --","-- Por Favor Seleccione --"
"Custom Design","Diseño Personalizado"
"Date From","Fecha Desde"
"Date To","Fecha Hasta"
"Design Change","Cambio de Diseño"
General,General
Cancel,Cancelar
"Delete %1 '%2'","Eliminar %1 '%2'"
"Delete %1","Eliminar %1"
"Block Information","Información del Bloque"
"Backup Options","Opciones de Backup"
"Create DB Backup","Crear Backup de BD"
Yes,Si
No,No
"Delete Store","Eliminar Tienda"
"Delete Web Site","Eliminar Sitio Web"
"Save Web Site","Guardar Sitio Web"
"Save Store","Guardar Tienda"
"Save Store View","Guardar Vista de Tienda"
"Delete Store View","Eliminar Vista de Tienda"
"Edit Web Site","Editar Sitio Web"
"New Web Site","Nuevo Sitio Web"
"Edit Store","Editar Tienda"
"New Store","Nueva Tienda"
"Edit Store View","Editar Vista de Tienda"
"New Store View","Nueva CVista de Tienda"
"Store Information","Información de la Tienda"
"Web Site","Sitio Web"
Name,Nombre
Code,Código
"Root Category","Categoría Raíz"
"Default Store View","Vista de Tienda por Defecto"
"Store View Information","Información de la Vista de Tienda"
Status,Estado
Disabled,Deshabilitada
Enabled,Habilitada
