"Sign Out","Cerrar Sesión"
"Sign In","Ingresar"
"You are subscribed to our newsletter.","You are subscribed to our newsletter."
"You aren't subscribed to our newsletter.","You aren't subscribed to our newsletter."
"You have not set a default shipping address.","No ha configurado una dirección de envío predeterminada."
"You have not set a default billing address.","No ha configurado una dirección de facturación predeterminada."
"Address Book","Contacto"
"Edit Address","Editar dirección"
"Add New Address","Agregar nueva dirección"
region,región
"Create Order","Crear Pedido"
"Save Customer","Guardar Cliente"
"Delete Customer","Eliminar Cliente"
"Reset Password","Resetear Contraseña"
"Are you sure you want to revoke the customer's tokens?","Are you sure you want to revoke the customer's tokens?"
"Force Sign-In","Force Sign-In"
"New Customer","Nuevo Cliente"
"Save and Continue Edit","Guardar y Continuar Editando"
Back,Atrás
"Please select","Por Favor Seleccione"
Reset,Resetear
ID,ID
Product,Producto
SKU,SKU
Quantity,Cantidad
Price,Precio
Total,Total
Action,Acción
Configure,Configurar
Delete,Eliminar
"Shopping Cart from %1","Shopping Cart from %1"
Newsletter,Boletín
"Newsletter Information","Información del Boletín"
"Subscribed to Newsletter","Suscripto al Boletín"
"Last Date Subscribed","Última fecha de Suscripción"
"Last Date Unsubscribed","Última fecha de Desuscripción"
"No Newsletter Found","No se encontró el boletín"
"Start date","Fecha Inicio"
"End Date","Fecha Fin"
"Receive Date","Fecha Recepción"
Subject,Asunto
Status,Estado
Sent,Enviado
Cancel,Cancelar
"Not Sent","No Enviado"
Sending,Enviando
Paused,Pausado
View,Ver
Unknown,Desconocido
Order,Pedido
Purchased,Comprado
"Bill-to Name","Nombre de Facturación"
"Ship-to Name","Nombre de Envío"
"Order Total","Total del Pedido"
"Purchase Point","Punto de Compra"
"Customer View","Vista de Cliente"
"There are no items in customer's shopping cart.","No hay items en el carrito de compras del cliente."
Qty,Cant
Confirmed,Confirmado
"Confirmation Required","Confirmación Requerida"
"Confirmation Not Required","Confirmación No Requerida"
Indeterminate,Indeterminado
"The customer does not have default billing address.","El Cliente no tiene una dirección de facturación por defecto."
Offline,Fuera de Línea
Online,En Línea
Never,Nunca
Unlocked,Desbloqueado
Locked,Bloqueado
"Deleted Stores","Eliminar Tiendas"
"Add Locale","Agregar Localización"
"Add Date","Agregar Fecha"
"Days in Wish List","Días en Lista de Deseos"
Unlock,Desbloquear
No,No
Yes,Si
"Delete File","Eliminar Archivo"
Download,Descargar
"Delete Image","Eliminar Imagen"
"View Full Size","Ver tamaño completo"
"All countries","Todos los Países"
"Customer Groups","Grupos de Cliente"
"Add New Customer Group","Agregar nuevo Grupo de Cliente"
"Save Customer Group","Guardar Grupo de Cliente"
"Delete Customer Group","Eliminar Grupo de Cliente"
"New Customer Group","Nuevo Grupo de cliente"
"Edit Customer Group ""%1""","Editar Grupo de Cliente ""%1"""
"Group Information","Información de Grupo"
"Group Name","Nombre del Grupo"
"Maximum length must be less then %1 characters.","La longitud Máxima debe ser de menos de %1 caracteres."
"Tax Class","Clase de Impuesto"
"The customer is now assigned to Customer Group %s.","El Cliente ha sido asignado al Grupo de Clientes %s."
"Would you like to change the Customer Group for this order?","Le gustaría cambiar el Grupo de Cliente por este pedido?"
"The VAT ID is valid.","El Número de IVA es válido."
"The VAT ID entered (%s) is not a valid VAT ID.","El ID de VAT ingresado (%s) no es un Número de IVA válido."
"The VAT ID is valid. The current Customer Group will be used.","El Número de IVA es válido. El Grupo de Cliente actual serña utilizado."
"The VAT ID is valid but no Customer Group is assigned for it.","El Número de IVA es válido pero no se le ha asignado ningún Grupo de Clientes."
"Based on the VAT ID, the customer belongs to the Customer Group %s.","Basado en el Número de IVA, el cliente pertenece al Grupo de Cliente %s."
"Something went wrong while validating the VAT ID.","Algo anduvo mal mientras se validaba el ID de IVA."
"The customer would belong to Customer Group %s.","El cliente pertenecería al grupo de clientes %s."
"There was an error detecting Customer Group.","Hubo un error detectando el Grupo de Cliente."
"Validate VAT Number","Validar Número de IVA"
"Customer Login","Ingreso de Cliente"
"Create New Customer Account","Crear nueva Cuenta de Cliente"
"Date of Birth","Fecha de Nacimiento"
"Bad request.","Solicitud incorrecta."
"This confirmation key is invalid or has expired.","Esta clave de confirmación no es válida o ha expirado."
"There was an error confirming the account","Hubo un error al confirmar la cuenta"
