"My Reward Points","Mis MomiPesos"
"Reward Points","MomiPesos"
"Rewards Information","Información sobre MomiPesos"
"Available Points Balance","Balance de MomiPesos Disponibles"
"Change Balance","Balance de Cambios"
"Enter positive or negative number of points. E.g. 10 or -10","Ingrese una cantidad de MomiPesos positiva o negativa. E.g. 10 or -10"
"Message in the rewards history","Mensaje en el historial de MomiPesos"
"Customer will see this in his account","El cliente verá esto en su cuenta"
"No Records Found","No se encontraron registros"
ID,ID
"Balance Change","Cambio de Balance"
Comment,Comentar
"Created At","Creados el"
"Expires At","Vencen el"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Aplique la regla solo para los artículos del carrito que coincidan con las siguientes condiciones (déjelo en blanco para todos los artículos)"
"Apply To","Aplicar a"
"Apply the rule only if the following conditions are met (leave blank for all products)","Aplique la regla solo si se cumplen las siguientes condiciones (deje en blanco para todos los productos)"
Conditions,Condiciones
"Earning Rules","Reglas para ganarlos"
"Spending Rules","Reglas para gastarlos"
"Notification Rules","Reglas de notificación"
Transactions,Transacciones
"Customer Referrals","Clientes Referidos"
Reports,Reportes
"Refresh Statistics","Refrescar Estadísticas"
Settings,Configuraciones
Save,Guardar
Delete,Eliminar
"Save And Continue Edit","Guardar y continuar editando"
"Edit Referral '%1'","Editar Referido '%1'"
"Create New Referral","Crear Nuevo Referido"
"Customer Name","Nombre del Cliente"
"Customer Email","Email del Cliente"
"Customer Group","Grupo del Cliente"
Action,Acción
Code,Código
"Is expired","Ha expirado"
"Is sent","Fué enviado"
"Amount Used","Cantidad Utilizada"
"Are you sure?","Está seguro?"
"Checkout now and earn <b>%1</b> for this order.","Compre ahora y gane <b>%1</b> para este pedido."
"Applies only to registered customers, may vary when logged in.","Se aplica solo a clientes registrados, puede variar una vez logueado."
"Possible discount ' . . ' %1","Descuento Posible ' . . ' %1"
"Earn ' . . ' %1","Gane <b>' . . '</b> %1"
Grid,Grilla
List,Lista
All,Todo
"Referral %1","Referido %1"
"Something went wrong while saving your subscription.","Algo anduvo mal mientras se guardaba su suscripcion."
"We removed your subscription on expiring points notification.","Eliminamos su suscripción al momento de la notificación de los puntos."
"New Earning Rule","Nueva Regla de Ganancias"
"Earning Rule was successfully deleted","La regla de ganancias fue eliminada exitosamente"
"Edit Earning Rule '%1'","Editar regla de ganancias '%1'"
"The Earning Rule does not exist.","La regla de ganancias no existe."
"Total of %1 record(s) were successfully updated","Total de %1 registro (s) se actualizaron con éxito"
"Please select Earning Rule(s)","Por favor seleccione la (s) Regla (s) de Ganancia"
"Total of %1 record(s) were successfully deleted","Total de %1 registro (s) fueron eliminados con éxito"
"Earning Rule was successfully saved","La regla de ganancias se guardó con éxito"
"Unable to find Earning Rule to save","No se puede encontrar la regla de ganancias para ahorrar"
"New Notification Rule","Nueva regla de notificación"
"Notification Rule was successfully deleted","La regla de notificación se eliminó con éxito"
"Edit Notification Rule '%1'","Editar regla de notificación '%1'"
"The Notification Rule does not exist.","La regla de notificación no existe."
"Please select Notification Rule(s)","Seleccione las reglas de notificación"
"Notification Rule was successfully saved","La regla de notificación se guardó con éxito"
"Unable to find Notification Rule to save","No se puede encontrar la Regla de notificación para guardar"
"Please select Referral(s)","Por favor, seleccione Referido (s)"
"Statistics was successfully updated","Las estadísticas se actualizaron con éxito"
"Database error. Please contact developers.","Error de la base de datos. Por favor contacte a desarrolladores."
Rewards,Recompensas
"You have not any statistic. Please refresh statistic.","No tienes ninguna estadística. Por favor, actualice la estadística."
"New Spending Rule","Nueva regla de gastos"
"Spending Rule was successfully deleted","La regla de gasto se eliminó correctamente"
"Edit Spending Rule '%1'","Editar regla de gasto '%1'"
"The Spending Rule does not exist.","La regla de gasto no existe."
"Please select Spending Rule(s)","Por favor seleccione la (s) regla (s) de gasto"
"Field 'Spend maximum' can not be less or equal then field 'Spend minimum'","El campo 'Gastar máximo' no puede ser menor o igual que el campo 'Gastar mínimo'"
"Spending Rule was successfully saved","La regla de gastos se guardó con éxito"
"Unable to find Spending Rule to save","No se puede encontrar la Regla de gasto para guardar"
"New Transaction","Nueva transacción"
"Transaction was successfully deleted","La transacción fue eliminada exitosamente"
"Please select Transaction(s)","Seleccione Transacción (es)"
"Transaction was successfully saved","La transacción fue guardada con éxito"
"Unable to find Transaction to save","No se puede encontrar Transacción para guardar"
"Cannot apply points.","No se puede aplicar los puntos."
"You've earned %1 for Facebook Like!","Has ganado %1 por tu like en Facebook!"
"You've earned %1 for Facebook Share!","Has ganado %1 por compartir en Facebook!"
"Facebook Like Points has been canceled","Los Puntos por tu like en Facebook han sido cancelados"
"You've earned %1 for Google+!","Has ganado %1 por Google+!"
