Products,Productos
"Popular suggestions","Sugerencias populares"
"Show all %1 results →","Mostrar todos los %1 resultados →"
"Sorry, nothing found for ""%1"".","Lo siento, no se encontró nada para ""%1""."
"Searchable content","Contenido buscable"
Index,Indice
"Is Enabled","Está habilitado"
"Max Number of results","Número máximo de resultados"
"Hot Searches","Búsquedas calientes"
"recent searches","Búsquedas recientes"
"Search Autocomplete","Autocompletado de búsqueda"
"General Configuration","Configuración general"
"Minimum number of characters to search","Mínimo número de caracteres para la búsqueda"
"The delay before start finding","La demora antes de empezar a encotrar"
">In milliseconds, e.g. 500 means 0.5 of second",">En milisegundos, ej: 500 significa 0.5 segundos"
"Fast Mode","Modo rápido"
"Disable not necessary observers and handlers","Deshabilitar Observers y Handlers no necesarios"
"Products Settings","Configuración de productos"
"Show Price","Mostrar precio"
"Show Thumbnail","Mostrar miniatura"
"Show Rating","Mostrar Calificación"
"Show Description","Mostrar descripción"
"Show SKU","Mostrar SKU"
Appearance,Apariencia
"Additional CSS Styles","Estilos CSS Adicionales"
"Show Hot Searches","Mostrar búsquedas calientes"
"Search queries","Consultas de búsqueda"
"Comma separated search queries. Leave empty for show most popular queries.","Consultas de búsqueda separadas por coma. Dejar en blanco para mostrar las consultas más populares."
"Ignored words","Palabras ignoradas"
"Comma separated words. Ignore query, if search query contains any of these word.","Palabras separadas por coma. Ignorar consulta, si la consulta de búsqueda contiene alguna de estas palabras."
"Max Number of queries","Número máximo de consultas"
