Add,Agregar
"Match Expression","Coincidir expresión"
"Replace Expression","Reemplazar expresión"
"Replace Char","Reemplazar caracter"
Word,Palabra
"Find word","Buscar palabra"
"Replace with","Reemplazar con"
"Add New Search Index","Agregar nuevo índice de búsqueda"
"Save Search Index","Guardar índice de búsqueda"
"Save and Continue Edit","Guardar y continuar edición"
"Ignored Pages","Páginas ignoradas"
"Database Connection","Conexión a la base de datos"
"Database Connection Name","Nombre de conexión de base de datos"
"Table Prefix","Prefijo de tabla"
Options,Opciones
"Search by parent categories names","Buscar por nombre de categorías padre"
"Search by child products (for bundle, configurable products)","Buscar por productos hijos (para productos tipo bundle y configurables)"
"Search by product id","Buscar por id de producto"
"Search by custom options","Buscar por opciones personalizadas"
"Push ""out of stock"" products to the end","Poner productos ""sin stock"" al final"
"Url Template","Url de la plantilla"
Attributes,Atributos
"General Information","Information General"
Title,Título
Index,Indice
Position,Posición
Status,Estado
Enabled,Habilitado
Disabled,Deshabilitado
"Search Index Information","Información de índice de búsqueda"
"Searchable Attributes","Atributos habilitados para búsqueda"
"Additional Options","Opciones adicionales"
ID,ID
Type,Tipo
Action,Acción
Reindex,Reindexar
Ready,Listo
"Reindex Required","Reindexación Requerida"
"Search Indexes","Indices de búsqueda"
"Manage Synonyms","Administrar sinónimos"
"Manage Stopwords","Administrar palabras vacías (Stopwords)"
Settings,Configuración
"Dictionary of stopwords","Diccionario de palabras vacías (stopwords)"
"Add New Stopword","Agregar nueva palabla vacía (Stopword)"
"Import Dictionary","Importar diccionario"
Stopword,Palabra vacía (Stopword)
Store,Tienda
Delete,Eliminar
"Are you sure?","Está seguro?"
Import,Importar
Dictionary,Diccionario
"Dictionary of synonyms","Diccionario de sinónimos"
"Add New Synonym","Agregar nuevo sinónimo"
Term,Término
Synonyms,Sinónimos
"Use comma as separator","Usar coma como separador"
"Child block %1 not exists","El bloque Child %1 no existe"
"The search index has been deleted.","El índice de búsqueda ha sido eliminado."
"This search index no longer exists.","Este índice de búsqueda no existe más."
"Edit Search Index ""%1""","Editar índice de búsqueda ""%1"""
"New Search Index","Nuevo índice de búsqueda"
"Reindex successfully completed.","Reindexación completada satisfactoriamente."
"You saved the search index.","Se guardó el índice de búsqueda."
"The stopword has been deleted.","La palabra vacía (stopword) ha sido eliminada."
"This stopword no longer exists.","Esta palabra vacía ya no existe."
